,tcpid,role,roleParsed,name,nameParsed,source,title,author,date,dateParsed,place,pubStmt,viafId
62145,B03873,assigns,assigns,"John Bill, deceas'd: and",,tcp_ep,"By the King, a proclamation for continuing the collection of the customs and subsidies of tonnage and poundage",England and Wales. Sovereign (1685-1688 : James II),1684 ; Anno Dom. 1685.,,,"Printed by the assigns of John Bill, deceas'd: and by Henry Hills, and Thomas Newcomb ..., by the heir of Andrew Anderson ..., London, : 1684 ; and re-printed at Edinburgh, : Anno Dom. 1685.",
62146,B03873,printer,printer,Henry Hills,,tcp_ep,"By the King, a proclamation for continuing the collection of the customs and subsidies of tonnage and poundage",England and Wales. Sovereign (1685-1688 : James II),1684 ; Anno Dom. 1685.,,,"Printed by the assigns of John Bill, deceas'd: and by Henry Hills, and Thomas Newcomb ..., by the heir of Andrew Anderson ..., London, : 1684 ; and re-printed at Edinburgh, : Anno Dom. 1685.",
62147,B03873,printer,printer,Thomas Newcomb,,tcp_ep,"By the King, a proclamation for continuing the collection of the customs and subsidies of tonnage and poundage",England and Wales. Sovereign (1685-1688 : James II),1684 ; Anno Dom. 1685.,,,"Printed by the assigns of John Bill, deceas'd: and by Henry Hills, and Thomas Newcomb ..., by the heir of Andrew Anderson ..., London, : 1684 ; and re-printed at Edinburgh, : Anno Dom. 1685.",
63399,A58544,patron,patron,the Kings Most Sacred Majesty,,tcp_ep,An act against preachers at conventicles and these present at field conventicles ; An act anent the covenant,Scotland.,1685 ; May the 23rd [1685],,,"Printed by the heir of Andrew Anderson, printer to the Kings Most Sacred Majesty, By George Croom ..., Edinburgh : 1685 ; Reprinted at London : May the 23rd [1685]",
63400,A58544,printer,printer,the heir of Andrew Anderson,,tcp_ep,An act against preachers at conventicles and these present at field conventicles ; An act anent the covenant,Scotland.,1685 ; May the 23rd [1685],,,"Printed by the heir of Andrew Anderson, printer to the Kings Most Sacred Majesty, By George Croom ..., Edinburgh : 1685 ; Reprinted at London : May the 23rd [1685]",
63401,B03868,assigns,assigns,John Bill deceast: and,,tcp_ep,"By the King, a proclamation. Whereas we have received certain information, that James Duke of Monmouth, Ford late Lord Gray outlawed for high treason, with divers other traitors and outlaws, are lately landed in an hostile manner at Lyme ...",England and Wales. Sovereign (1685-1688 : James II),1685 ; 1685.,,,"printed by the assigns of John Bill deceast: and by Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty, re-printed by the heir of Andrew Anderson, printer to his most sacred Majesty, London : 1685 ; Edinburgh : 1685.",
63402,B03868,patron,patron,the Kings most excellent Majesty,,tcp_ep,"By the King, a proclamation. Whereas we have received certain information, that James Duke of Monmouth, Ford late Lord Gray outlawed for high treason, with divers other traitors and outlaws, are lately landed in an hostile manner at Lyme ...",England and Wales. Sovereign (1685-1688 : James II),1685 ; 1685.,,,"printed by the assigns of John Bill deceast: and by Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty, re-printed by the heir of Andrew Anderson, printer to his most sacred Majesty, London : 1685 ; Edinburgh : 1685.",
63403,B03868,printer,printer,Henry Hills,,tcp_ep,"By the King, a proclamation. Whereas we have received certain information, that James Duke of Monmouth, Ford late Lord Gray outlawed for high treason, with divers other traitors and outlaws, are lately landed in an hostile manner at Lyme ...",England and Wales. Sovereign (1685-1688 : James II),1685 ; 1685.,,,"printed by the assigns of John Bill deceast: and by Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty, re-printed by the heir of Andrew Anderson, printer to his most sacred Majesty, London : 1685 ; Edinburgh : 1685.",
63404,B03868,printer,printer,Thomas Newcomb,,tcp_ep,"By the King, a proclamation. Whereas we have received certain information, that James Duke of Monmouth, Ford late Lord Gray outlawed for high treason, with divers other traitors and outlaws, are lately landed in an hostile manner at Lyme ...",England and Wales. Sovereign (1685-1688 : James II),1685 ; 1685.,,,"printed by the assigns of John Bill deceast: and by Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty, re-printed by the heir of Andrew Anderson, printer to his most sacred Majesty, London : 1685 ; Edinburgh : 1685.",
63405,B03877,assigns,assigns,John Bill deceas'd: and,,tcp_ep,"By the King. A proclamation, signifying his Majesties pleasure, that all men being in office of government at the decease of the late King, his Majesties most dear and most entirely beloved brother, shall so continue, till his Majesties further direction.",England and Wales. Sovereign (1685-1688 : James II),1684 [i.e. 1685] ; Anno Dom. 1685.,,,"Printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printers to the Kings most Excellent Majesty, Printed by the heir of Andrew Anderson, printer to his most sacred Majesty, London : 1684 [i.e. 1685] ; Edinburgh : Anno Dom. 1685.",
63406,B03877,patron,patron,the Kings most Excellent Majesty,,tcp_ep,"By the King. A proclamation, signifying his Majesties pleasure, that all men being in office of government at the decease of the late King, his Majesties most dear and most entirely beloved brother, shall so continue, till his Majesties further direction.",England and Wales. Sovereign (1685-1688 : James II),1684 [i.e. 1685] ; Anno Dom. 1685.,,,"Printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printers to the Kings most Excellent Majesty, Printed by the heir of Andrew Anderson, printer to his most sacred Majesty, London : 1684 [i.e. 1685] ; Edinburgh : Anno Dom. 1685.",
63407,B03877,printer,printer,Henry Hills,,tcp_ep,"By the King. A proclamation, signifying his Majesties pleasure, that all men being in office of government at the decease of the late King, his Majesties most dear and most entirely beloved brother, shall so continue, till his Majesties further direction.",England and Wales. Sovereign (1685-1688 : James II),1684 [i.e. 1685] ; Anno Dom. 1685.,,,"Printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printers to the Kings most Excellent Majesty, Printed by the heir of Andrew Anderson, printer to his most sacred Majesty, London : 1684 [i.e. 1685] ; Edinburgh : Anno Dom. 1685.",
63408,B03877,printer,printer,Thomas Newcomb,,tcp_ep,"By the King. A proclamation, signifying his Majesties pleasure, that all men being in office of government at the decease of the late King, his Majesties most dear and most entirely beloved brother, shall so continue, till his Majesties further direction.",England and Wales. Sovereign (1685-1688 : James II),1684 [i.e. 1685] ; Anno Dom. 1685.,,,"Printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printers to the Kings most Excellent Majesty, Printed by the heir of Andrew Anderson, printer to his most sacred Majesty, London : 1684 [i.e. 1685] ; Edinburgh : Anno Dom. 1685.",
63409,B04034,printer,printer,E. Mallet,,tcp_ep,The life of Titus Oates from his cradle to his first pilloring for infamous perjury with a true account of his birth and parentage; impartially set forth for the satisfaction of all persons.,,1685 ; Anno Dom. 1685],,,"Printed by E. Mallet ..., by the heir of Andrew Anderson ..., [London : 1685 ; Re-printed at Edinburgh, : Anno Dom. 1685]",
63973,A70978,printer,printer,the heir of Andrew Anderson,,tcp_ep,Proclamation against slanderers and leesing-makers,England and Wales. Sovereign (1685-1688 : James II),1686 ; 1686.,,,"Printed by the heir of Andrew Anderson ..., For J.L., Edinburgh : 1686 ; Reprinted at London : 1686.",
78137,A02274,ed.,editor,"Salesbury, William, 1520? 1600?,",,estc_ep,Y Diarebion Camberaëc,"Gruffudd Hiraethog, d. 1564.",1569? or 1572?]],,,"[H[enry] Denham, [London : 1569? or 1572?]]",
78138,A02442,tr.,translator,"R. H., active 1605,",,estc_ep,"The spiritual pilgrimage of Hierusalem, contayninge three hundred sixtie fiue dayes iorney wherin the deuoute person may meditate on sondrie pointes of his redemption. With particular declaration of diuers Saints bodies and holy places which are to be seene in the said-voyage: As also sundrie deuout praiers and meditations verie healpful to the pilgrimes: With licence.","Paeschen, Jan van.",1604 or 1605],,,"C. Boscard, [Douai : 1604 or 1605]",
78139,A04403,printer.,printer,"Worde, Wynkyn de, -1534?,",,estc_ep,Here begynneth a mery geste of the frere and the boye,,[between 1510 and 1513],,the sygne of the sonne,"In Fletestrete at the sygne of the sonne, by Wynkyn de Worde], [Enprynted at London : [between 1510 and 1513]",
78140,A06554,printer.,printer,"Caxton, William, approximately 1422-1491 or 1492,",,estc_ep,The hors. the shepe [and] the ghoos,"Lydgate, John, 1370?-1451?",1477-1478],,,"By W. Caxton, [Westminster : 1477-1478]",
78141,A11777,tr.,translator,"Martin, Gregory, -1582,",,estc_ep,"The holie Bible faithfully translated into English, out of the authentical Latin. Diligently conferred with the Hebrew, Greeke, and other editions in diuers languages. With arguments of the bookes, and chapters: annotations. tables: and other helpes ... By the English College of Doway","Martin, Gregory, d. 1582.",M.DC.IX. [1609-1610],,the signe of the holie Lambe,"By Laurence Kellam, at the signe of the holie Lambe, Printed at Doway : M.DC.IX. [1609-1610]",
78142,A16385,printer.,printer,"Caxton, William, approximately 1422-1491 or 1492,",,estc_ep,[Explicit the book of curtesye],,1477-1478],,,"By William Caxton, [Westminster : 1477-1478]",
78143,A16964,ill.,illustrator,"Hondius, Jodocus, 1563 1612,",,estc_ep,"A concent of Scripture, by H. Broughton","Broughton, Hugh, 1549-1612.",[between 1587 and 1591]],,,"[By Richard Watkins] for Gabriell Simson and William White, [Imprinted at London : [between 1587 and 1591]]",
78144,A19352,ed.,editor,"Olney, Henry,",,estc_ep,"Essayes. By Sir William Corne-Waleys the younger, Knight","Cornwallis, William, Sir, d. 1631?",1600-1601.,,the signe of the Hand|Fleet-street,"Printed [by S. Stafford and R. Read] for Edmund Mattes, at the signe of the Hand and Plowgh in Fleet-street, [London] : 1600-1601.",
78145,A26222,tr.,translator,"Hickman, Spencer,",,estc_ep,"The novels of Elizabeth, Queen of England containing the history of Queen Ann of Bullen / faithfully rendered into English by S.H.","Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.",1680-1681.,,,"Printed for Mark Pardoe ..., London : 1680-1681.",
78146,A28178,engraver.,engraver,"Elstracke, Renold, active 1590-1630,",,estc_ep,"An history of the civill vvares of England betweene the two Houses of Lancaster and Yorke the originall whereof is set downe in the life of Richard the Second, their proceedings, in the lives of Henry the Fourth, the Fifth, and Sixth, Edward the Fourth and Fifth, Richard the Third, and Henry the Seventh, in whose dayes they had a happy period : written in Italian in three volumes / by Sir Francis Biondi, Knight ... ; Englished by the Right Honourable Henry, Earle of Mounmouth, in two volumes.","Biondi, Giovanni Francesco, Sir, 1572-1644.",1641-1646.,,,"By T.H. and I.D. for Iohn Benson ..., Imprinted at London : 1641-1646.",
78147,A28178,tr.,translator,"Monmouth, Henry Carey, Earl of, 1596 1661,",,estc_ep,"An history of the civill vvares of England betweene the two Houses of Lancaster and Yorke the originall whereof is set downe in the life of Richard the Second, their proceedings, in the lives of Henry the Fourth, the Fifth, and Sixth, Edward the Fourth and Fifth, Richard the Third, and Henry the Seventh, in whose dayes they had a happy period : written in Italian in three volumes / by Sir Francis Biondi, Knight ... ; Englished by the Right Honourable Henry, Earle of Mounmouth, in two volumes.","Biondi, Giovanni Francesco, Sir, 1572-1644.",1641-1646.,,,"By T.H. and I.D. for Iohn Benson ..., Imprinted at London : 1641-1646.",
78148,A28462,engraver.,engraver,"Burnford, Tho.,",,estc_ep,"Boscobel, or, The compleat history of His Sacred Majesties most miraculous preservation after the Battle of Worcester, 3 Sept., 1651 introduced by an exact relation of that battle and illustrated with a map of the city.","Blount, Thomas, 1618-1679.",1680-1681.,,,"Printed by M. Clark and are to be sold by H. Brome and C. Harper ..., London : 1680-1681.",
78149,A28462,engraver.,engraver,"Hove, Frederick Hendrick van, 1628? 1698,",,estc_ep,"Boscobel, or, The compleat history of His Sacred Majesties most miraculous preservation after the Battle of Worcester, 3 Sept., 1651 introduced by an exact relation of that battle and illustrated with a map of the city.","Blount, Thomas, 1618-1679.",1680-1681.,,,"Printed by M. Clark and are to be sold by H. Brome and C. Harper ..., London : 1680-1681.",
78150,A28936,ed.,editor,"Boulton, Richard, 1676 or 1677-",,estc_ep,"The works of the Honourable Robert Boyle, Esq., epitomiz'd by Richard Boulton ... ; illustrated with copper plates.","Boyle, Robert, 1627-1691.",1699-1700.,,,"Printed for J. Phillips ... and J. Taylor ..., London : 1699-1700.",
78151,A31537,publisher.,publisher,"Motteux, Peter Anthony, 1660 1718,",,estc_ep,The history of the renown'd Don Quixote de la Mancha written in Spanish by Miguel de Cervantes Saavedra ; translated from the original by several hands ; and publish'd by Peter Motteux ... ; adorn'd with sculptures.,"Cervantes Saavedra, Miguel de, 1547-1616.",1700-12.,,,"Printed for Sam. Buckley ..., London : 1700-12.",
78152,A34852,engraver.,engraver,"Nicholls, Sutton,",,estc_ep,"Hibernia anglicana, or, The history of Ireland, from the conquest thereof by the English, to this present time with an introductory discourse touching the ancient state of that kingdom and a new and exact map of the same / by Richard Cox ...","Cox, Richard, Sir, 1650-1733.",1689-90.,,,"Printed by H. Clark, for Joseph Watts ..., London : 1689-90.",
78153,A34852,engraver.,engraver,"White, Robert, 1645 1703,",,estc_ep,"Hibernia anglicana, or, The history of Ireland, from the conquest thereof by the English, to this present time with an introductory discourse touching the ancient state of that kingdom and a new and exact map of the same / by Richard Cox ...","Cox, Richard, Sir, 1650-1733.",1689-90.,,,"Printed by H. Clark, for Joseph Watts ..., London : 1689-90.",
78154,A51181,tr.,translator,"Cotton, Charles, 1630 1687,",,estc_ep,"Essays of Michael, seigneur de Montaigne in three books, with marginal notes and quotations of the cited authors, and an account of the author's life / new rendered into English by Charles Cotton, Esq.","Montaigne, Michel de, 1533-1592.",1685-1686.,,,"Printed for T. Basset ... and M. Gilliflower and W. Hensman ..., London : 1685-1686.",
78155,A54969,com.,compiler,"Playford, Henry, 1657-",,estc_ep,"The theater of music, or, A choice collection of the newest and best songs sung at the court and public theaters the words composed by the most ingenious wits of the age, and set to music by the greatest masters in that science : with a theorbo-bass to each song for the theorbo or bass-viol : also symphonies and retornels in 3 parts to several of them for the violins and flutes.","Playford, Henry, b. 1657.",1685-1687.,,,"Printed by J. Playford for Henry Playford and R.C. ..., London : 1685-1687.",
78156,A54969,edt.,editor,"Blow, John, -1708,",,estc_ep,"The theater of music, or, A choice collection of the newest and best songs sung at the court and public theaters the words composed by the most ingenious wits of the age, and set to music by the greatest masters in that science : with a theorbo-bass to each song for the theorbo or bass-viol : also symphonies and retornels in 3 parts to several of them for the violins and flutes.","Playford, Henry, b. 1657.",1685-1687.,,,"Printed by J. Playford for Henry Playford and R.C. ..., London : 1685-1687.",
78157,A54969,edt.,editor,"Purcell, Henry, 1658 or 1659-1695,",,estc_ep,"The theater of music, or, A choice collection of the newest and best songs sung at the court and public theaters the words composed by the most ingenious wits of the age, and set to music by the greatest masters in that science : with a theorbo-bass to each song for the theorbo or bass-viol : also symphonies and retornels in 3 parts to several of them for the violins and flutes.","Playford, Henry, b. 1657.",1685-1687.,,,"Printed by J. Playford for Henry Playford and R.C. ..., London : 1685-1687.",
78158,A55021,comp.,compiler,"Playford, Henry, 1657-",,estc_ep,"The banquet of musick, or, A collection of the newest and best songs sung at court, and at publick theatres with a thorow-bass for the theorbo-lute, bass-viol, harpsichord, or organ / composed by several of the best masters ; the words by the ingenius wits of this age.","Playford, Henry, b. 1657.",1688-1692.,,,"Printed by E. Jones for Henry Playford ..., In the Savoy : 1688-1692.",
78159,A55021,engraver.,engraver,"Vaughan, William, active 1664,",,estc_ep,"The banquet of musick, or, A collection of the newest and best songs sung at court, and at publick theatres with a thorow-bass for the theorbo-lute, bass-viol, harpsichord, or organ / composed by several of the best masters ; the words by the ingenius wits of this age.","Playford, Henry, b. 1657.",1688-1692.,,,"Printed by E. Jones for Henry Playford ..., In the Savoy : 1688-1692.",
78160,A58807,engraver.,engraver,"White, Robert, 1645 1703,",,estc_ep,Practical discourses upon several subjects. Vol. I by John Scott ...,"Scott, John, 1639-1695.",1697-98.,,,"Printed for Walter Kettilby, London : 1697-98.",
78161,A65719,bookseller.,bookseller,"Churchill, Awnsham, -1728,",,estc_ep,A treatise of traditions ...,"Whitby, Daniel, 1638-1726.",1688-89.,,,"Printed by J. Leake for Awnsham Churchill ..., London : 1688-89.",
78162,A65719,printer.,printer,"Leake, John, active 1673-1717,",,estc_ep,A treatise of traditions ...,"Whitby, Daniel, 1638-1726.",1688-89.,,,"Printed by J. Leake for Awnsham Churchill ..., London : 1688-89.",
78163,A67611,ed. ,editor,"Birkenhead, John, Sir, 1616 1679,",,estc_ep,"Amoris effigies, sive, Quid sit amor? efflagitanti responsum","Waring, Robert, 1614-1658.",[165-],,,"excudebat R. Daniel, Londini : [165-]",
78164,A67877,ed.,editor,"Wharton, Henry, 1664 1695,",,estc_ep,"The history of the troubles and tryal of the Most Reverend Father in God and blessed martyr, William Laud, Lord Arch-Bishop of Canterbury. [vol. 2 of the Remains.] wrote by himself during his imprisonment in the Tower ; to which is prefixed the diary of his own life, faithfully and entirely published from the original copy ; and subjoined, a supplement to the preceding history, the Arch-Bishop's last will, his large answer to the Lord Say's speech concerning liturgies, his annual accounts of his province delivered to the king, and some other things relating to the history.","Laud, William, 1573-1645.",1695-1700.,,,"Printed for Ri. Chiswell ..., London : 1695-1700.",
78165,A67908,ed.,editor,"Wharton, Henry, 1664 1695,",,estc_ep,"The history of the troubles and tryal of the Most Reverend Father in God and blessed martyr, William Laud, Lord Arch-Bishop of Canterbury. vol. 1 wrote by himself during his imprisonment in the Tower ; to which is prefixed the diary of his own life, faithfully and entirely published from the original copy ; and subjoined, a supplement to the preceding history, the Arch-Bishop's last will, his large answer to the Lord Say's speech concerning liturgies, his annual accounts of his province delivered to the king, and some other things relating to the history.","Laud, William, 1573-1645.",1695-1700.,,,"Printed for Ri. Chiswell ..., London : 1695-1700.",
78166,A68132,tr.,translator,"Healey, John, -1610,",,estc_ep,The discouery of a new world or A description of the South Indies Hetherto vnknowne by an English Mercury.,"Hall, Joseph, 1574-1656.",[1613 or 1614],,,"Imprinted for Ed: Blount. and W. Barrett, [London] : [1613 or 1614]",
78167,A70540,engraver.,engraver,"Faithorne, William, 1616 1691,",,estc_ep,"Ayres and dialogues, for one, two, and three voyces by Henry Lawes ... ; the first [-thirde] booke.","Lawes, Henry, 1596-1662.",1653-1658.,,,"Printed by T. H. for John Playford ..., London : 1653-1658.",
78168,A70988,tr.,translator,"F. G., Gent.,",,estc_ep,"Artamenes, or, The Grand Cyrus an excellent new romance / written by that famous wit of France, Monsieur de Scudery ... ; and now Englished by F.G., Gent.","Scudéry, Madeleine de, 1607-1701.",1653-1655.,,,"Printed for Humphrey Moseley ... and Thomas Dring ..., London : 1653-1655.",
78169,A71188,trl.,translator,"Davies, John, 1625 1693,",,estc_ep,Astrea. Part 1. a romance / written in French by Messire Honoré D'Urfe ; and translated by a person of quality.,"Urfé, Honoré d', 1567-1625.",1657-58.,,,"Printed by W.W. for H. Moseley, T. Dring, and H. Herringman ..., London : 1657-58.",
78170,A71189,trl.,translator,"Davies, John, 1625 1693,",,estc_ep,Astrea. Part 2. a romance / written in French by Messire Honoré D'Urfe ; and translated by a person of quality.,"Urfé, Honoré d', 1567-1625.",1657-58.,,,"Printed by W.W. for H. Moseley, T. Dring, and H. Herringman ..., London : 1657-58.",
78171,A71190,trl.,translator,"Davies, John, 1625 1693,",,estc_ep,Astrea. Part 3. a romance / written in French by Messire Honoré D'Urfe ; and translated by a person of quality.,"Urfé, Honoré d', 1567-1625.",1657-58.,,,"Printed by W.W. for H. Moseley, T. Dring, and H. Herringman ..., London : 1657-58.",
78172,A71332,ed.,editor,"Dury, Giles,",,estc_ep,"The Parliamentary intelligencer [no.24 (4 June-11 June 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78173,A71332,ed.,editor,"Muddiman, Henry, 1628 or 1629-1692,",,estc_ep,"The Parliamentary intelligencer [no.24 (4 June-11 June 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78174,A71333,ed.,editor,"Dury, Giles,",,estc_ep,"The Parliamentary intelligencer [no.25 (11 June-18 June 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78175,A71333,ed.,editor,"Muddiman, Henry, 1628 or 1629-1692,",,estc_ep,"The Parliamentary intelligencer [no.25 (11 June-18 June 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78176,A71334,ed.,editor,"Dury, Giles,",,estc_ep,"The Parliamentary intelligencer [no.26 (18 June-25 June 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78177,A71334,ed.,editor,"Muddiman, Henry, 1628 or 1629-1692,",,estc_ep,"The Parliamentary intelligencer [no.26 (18 June-25 June 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78178,A71335,ed.,editor,"Dury, Giles,",,estc_ep,"The Parliamentary intelligencer [no.27 (25 June-2 July 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78179,A71335,ed.,editor,"Muddiman, Henry, 1628 or 1629-1692,",,estc_ep,"The Parliamentary intelligencer [no.27 (25 June-2 July 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78180,A71336,ed.,editor,"Dury, Giles,",,estc_ep,"The Parliamentary intelligencer [no.28 (2 July-9 July 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78181,A71336,ed.,editor,"Muddiman, Henry, 1628 or 1629-1692,",,estc_ep,"The Parliamentary intelligencer [no.28 (2 July-9 July 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
78182,A71337,ed.,editor,"Dury, Giles,",,estc_ep,"The Parliamentary intelligencer [no.29 (5 July-12 July 1660)] comprising the sum of forraign intelligence with the affairs now in agitation in England, Scotland, and Ireland : for information of the people.","Muddiman, Henry, 1628 or 1629-1692, editor.",[1659-1660],,,"Printed by John Macock ..., London : [1659-1660]",
